run,authorized_fraction,total_requests,authorized_requests,cover_requests,avg_eval_ms,avg_audit_ms,avg_write_ms,throughput,goodput,eval_bandwidth,audit_bandwidth,write_bandwidth,total_bandwidth
1,0.7,10,6,4,1090,86.1,295.7,0.678702,0.407221,960,0,384,1344
2,0.7,10,6,4,1058,86,285,0.69891,0.419346,960,0,384,1344
3,0.7,10,6,4,1074.7,86,274.7,0.695943,0.417566,960,0,384,1344
4,0.7,10,6,4,1073.9,86.1,273.3,0.696961,0.418177,960,0,384,1344
5,0.7,10,6,4,1075.6,86.2,273.1,0.696185,0.417711,960,0,384,1344
