run,authorized_fraction,total_requests,authorized_requests,cover_requests,avg_eval_ms,avg_audit_ms,avg_write_ms,throughput,goodput,eval_bandwidth,audit_bandwidth,write_bandwidth,total_bandwidth
1,0.7,10,6,4,550,4,25.8,1.72147,1.03288,720,0,384,1104
2,0.7,10,6,4,552.7,4,27.8,1.70678,1.02407,720,0,384,1104
3,0.7,10,6,4,552.8,4,27.7,1.70736,1.02442,720,0,384,1104
4,0.7,10,6,4,552.6,4,27.6,1.70765,1.02459,720,0,384,1104
5,0.7,10,6,4,552.5,4,27.9,1.70678,1.02407,720,0,384,1104
