run,authorized_fraction,total_requests,authorized_requests,cover_requests,avg_eval_ms,avg_audit_ms,avg_write_ms,throughput,goodput,eval_bandwidth,audit_bandwidth,write_bandwidth,total_bandwidth
1,0.7,10,6,4,649,16,44.1,1.40746,0.844476,800,0,384,1184
2,0.7,10,6,4,649,16.1,44.1,1.40726,0.844357,800,0,384,1184
3,0.7,10,6,4,645.8,16.5,42.4,1.41623,0.849738,800,0,384,1184
4,0.7,10,6,4,648.3,16.9,42.8,1.40984,0.845904,800,0,384,1184
5,0.7,10,6,4,648.9,16.7,44,1.40687,0.844119,800,0,384,1184
