run,authorized_fraction,total_requests,authorized_requests,cover_requests,avg_eval_ms,avg_audit_ms,avg_write_ms,throughput,goodput,eval_bandwidth,audit_bandwidth,write_bandwidth,total_bandwidth
1,0.7,10,6,4,1942.2,348,1044.3,0.299787,0.179872,1040,0,384,1424
2,0.7,10,6,4,1946.4,347.7,1041.5,0.299679,0.179808,1040,0,384,1424
3,0.7,10,6,4,1927.6,347.9,1042.8,0.301223,0.180734,1040,0,384,1424
4,0.7,10,6,4,1935.6,348.1,1035.7,0.301141,0.180685,1040,0,384,1424
5,0.7,10,6,4,1957.5,347.5,1040.5,0.298811,0.179286,1040,0,384,1424
